Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Pong! 	 0
Dickhead 	 100
Dickhead 	 0
Player 1 Name 	 200
IfTheNameHas Space 4nd Number 	 0
IfTheNameHas Space 4nd Number 	 0
IfTheNameHas Space 4nd Number 	 500
FUCKYOU 	 13200
Player 1 Name 	 500
Player 1 Name 	 1200
Player 1 Name 	 900
Dildo 	 300
Dildo 	 400
Dildo 	 400
Dildo 	 400
Dildo 	 500
Dildo 	 400
Dildo 	 800
Dildo 	 1000
Dildo 	 800
Dildo 	 1500
Player 1 Name 	 300
Player 1 Name 	 500
Player 1 Name 	 500
Player 1 Name 	 400
